id,name,sex,age,height,weight,team,noc,year,city,sport,event,medal
137440,Satsuki Fujisawa,F,26,156,58,Japan,JPN,2018,PyeongChang,Curling,Curling Women's Curling,Bronze
137440,Satsuki Fujisawa,F,30,156,58,Japan,JPN,2022,Beijing,Curling,Curling Women's Curling,Silver
127950,Samuel Costa,M,29,164,53,Italy,ITA,2022,Beijing,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",NA
127950,Samuel Costa,M,29,164,53,Italy,ITA,2022,Beijing,Nordic Combined,Nordic Combined Men's Team,NA
127420,Desislava Stoyanova,F,25,169,59,Bulgaria,BUL,2018,PyeongChang,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA
127420,Desislava Stoyanova,F,25,169,59,Bulgaria,BUL,2018,PyeongChang,Biathlon,Biathlon Women's 15 kilometres,NA
127420,Desislava Stoyanova,F,25,169,59,Bulgaria,BUL,2018,PyeongChang,Biathlon,Biathlon Women's 4 × 6 kilometres Relay,NA
147902,Ekatsiaryna Sloyeva,F,22,175,NA,Belarus,BLR,2022,Beijing,Speed Skating,"Speed Skating Women's 1,000 metres",NA
147902,Ekatsiaryna Sloyeva,F,22,175,NA,Belarus,BLR,2022,Beijing,Speed Skating,"Speed Skating Women's 1,500 metres",NA
147902,Ekatsiaryna Sloyeva,F,22,175,NA,Belarus,BLR,2022,Beijing,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),NA
147855,Benjamin Moser,M,24,NA,NA,Austria,AUT,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's Sprint,NA
147855,Benjamin Moser,M,24,NA,NA,Austria,AUT,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,NA
137146,Arttu Mäkiaho,M,20,183,71,Finland,FIN,2018,PyeongChang,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",NA
137146,Arttu Mäkiaho,M,20,183,71,Finland,FIN,2018,PyeongChang,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",NA
137146,Arttu Mäkiaho,M,24,183,71,Finland,FIN,2022,Beijing,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",NA
137146,Arttu Mäkiaho,M,24,183,71,Finland,FIN,2022,Beijing,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",NA
137146,Arttu Mäkiaho,M,24,183,71,Finland,FIN,2022,Beijing,Nordic Combined,Nordic Combined Men's Team,NA
119094,Luca Lanotte,M,32,178,70,Italy,ITA,2018,PyeongChang,Figure Skating,Figure Skating Mixed Ice Dancing,NA
119094,Luca Lanotte,M,32,178,70,Italy,ITA,2018,PyeongChang,Figure Skating,Figure Skating Mixed Team,NA
137809,Aleksandr Krushelnitsky,M,25,180,NA,ROC,ROC,2018,PyeongChang,Curling,Curling Mixed Mixed Doubles,NA
137301,Björn Krupp,M,26,191,92,Germany,GER,2018,PyeongChang,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
119414,Yu Baiwei,F,33,166,68,China,CHN,2022,Beijing,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
118765,Hanna Kolb,F,26,173,61,Germany,GER,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
118521,Fuyuko Suzuki-Tachizaki,F,29,162,59,Japan,JPN,2018,PyeongChang,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA
118521,Fuyuko Suzuki-Tachizaki,F,29,162,59,Japan,JPN,2018,PyeongChang,Biathlon,Biathlon Women's 10 kilometres Pursuit,NA
118521,Fuyuko Suzuki-Tachizaki,F,29,162,59,Japan,JPN,2018,PyeongChang,Biathlon,Biathlon Women's 15 kilometres,NA
118521,Fuyuko Suzuki-Tachizaki,F,29,162,59,Japan,JPN,2018,PyeongChang,Biathlon,Biathlon Women's 4 × 6 kilometres Relay,NA
118521,Fuyuko Suzuki-Tachizaki,F,33,162,59,Japan,JPN,2022,Beijing,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA
118521,Fuyuko Suzuki-Tachizaki,F,33,162,59,Japan,JPN,2022,Beijing,Biathlon,Biathlon Mixed 2 × 6 kilometres and 2 × 7.5 kilometres Relay,NA
118521,Fuyuko Suzuki-Tachizaki,F,33,162,59,Japan,JPN,2022,Beijing,Biathlon,Biathlon Women's 10 kilometres Pursuit,NA
118521,Fuyuko Suzuki-Tachizaki,F,33,162,59,Japan,JPN,2022,Beijing,Biathlon,Biathlon Women's 15 kilometres,NA
118521,Fuyuko Suzuki-Tachizaki,F,33,162,59,Japan,JPN,2022,Beijing,Biathlon,Biathlon Women's 4 × 6 kilometres Relay,NA
128173,Koen Verweij,M,27,182,83,Netherlands,NED,2018,PyeongChang,Speed Skating,"Speed Skating Men's 1,000 metres",NA
128173,Koen Verweij,M,27,182,83,Netherlands,NED,2018,PyeongChang,Speed Skating,"Speed Skating Men's 1,500 metres",NA
128173,Koen Verweij,M,27,182,83,Netherlands,NED,2018,PyeongChang,Speed Skating,Speed Skating Men's Mass Start,Bronze
128173,Koen Verweij,M,27,182,83,Netherlands,NED,2018,PyeongChang,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Bronze
136899,Mimi Rahneva,F,29,165,66,Canada,CAN,2018,PyeongChang,Skeleton,Skeleton Women's Skeleton,NA
136899,Mimi Rahneva,F,33,165,66,Canada,CAN,2022,Beijing,Skeleton,Skeleton Women's Skeleton,NA
137946,Hwang Chung-Gum,F,22,163,57,Democratic People's Republic of Korea,PRK,2018,PyeongChang,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
118767,Ida Ingemarsdotter,F,32,174,68,Sweden,SWE,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
118767,Ida Ingemarsdotter,F,32,174,68,Sweden,SWE,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
127379,Julia Dujmovits,F,30,168,60,Austria,AUT,2018,PyeongChang,Snowboarding,Snowboarding Women's Parallel Giant Slalom,NA
127379,Julia Dujmovits,F,34,168,60,Austria,AUT,2022,Beijing,Snowboarding,Snowboarding Women's Parallel Giant Slalom,NA
148124,Ahenaer Adake,F,22,165,NA,China,CHN,2022,Beijing,Speed Skating,"Speed Skating Women's 1,500 metres",NA
148124,Ahenaer Adake,F,22,165,NA,China,CHN,2022,Beijing,Speed Skating,"Speed Skating Women's 3,000 metres",NA
148124,Ahenaer Adake,F,22,165,NA,China,CHN,2022,Beijing,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),NA
148255,Morten Poulsen,M,33,184,NA,Denmark,DEN,2022,Beijing,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
2301890,Noemi Ryhner,F,21,NA,NA,Switzerland,SUI,2022,Beijing,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
2301191,Thibaut De Marre,M,23,NA,NA,Belgium,BEL,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's Sprint,NA
2301191,Thibaut De Marre,M,23,NA,NA,Belgium,BEL,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
2301191,Thibaut De Marre,M,23,NA,NA,Belgium,BEL,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA
2301191,Thibaut De Marre,M,23,NA,NA,Belgium,BEL,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres Skiathlon,NA
147998,Arnaud Gaudet,M,21,NA,NA,Canada,CAN,2022,Beijing,Snowboarding,Snowboarding Men's Parallel Giant Slalom,NA
137680,Batmönkhiin Achbadrakh,M,23,167,62,Mongolia,MGL,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
137680,Batmönkhiin Achbadrakh,M,27,167,62,Mongolia,MGL,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's Sprint,NA
137680,Batmönkhiin Achbadrakh,M,27,167,62,Mongolia,MGL,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
147821,Kiara Reddingius,F,30,NA,NA,Australia,AUS,2022,Beijing,Bobsleigh,Bobsleigh Women's Two,NA
148952,Calvin Thürkauf,M,24,NA,NA,Switzerland,SUI,2022,Beijing,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
136781,Maksim Hustsik,M,29,182,79,Belarus,BLR,2018,PyeongChang,Freestyle Skiing,Freestyle Skiing Men's Aerials,NA
136781,Maksim Hustsik,M,33,182,79,Belarus,BLR,2022,Beijing,Freestyle Skiing,Freestyle Skiing Mixed Team Aerials,NA
136781,Maksim Hustsik,M,33,182,79,Belarus,BLR,2022,Beijing,Freestyle Skiing,Freestyle Skiing Men's Aerials,NA
137737,Henrik Haukeland,M,23,189,83,Norway,NOR,2018,PyeongChang,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
137572,Choi Yu-Jung,F,17,156,56,Korea Team,COR,2018,PyeongChang,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
118320,Andrew Weibrecht,M,31,170,86,United States,USA,2018,PyeongChang,Alpine Skiing,Alpine Skiing Men's Super G,NA
136915,Éliot Grondin,M,16,183,81,Canada,CAN,2018,PyeongChang,Snowboarding,Snowboarding Men's Cross,NA
136915,Éliot Grondin,M,20,183,81,Canada,CAN,2022,Beijing,Snowboarding,Snowboarding Mixed Team Cross,Bronze
136915,Éliot Grondin,M,20,183,81,Canada,CAN,2022,Beijing,Snowboarding,Snowboarding Men's Cross,Silver
86185,Tony Granato,M,53,178,84,United States,USA,2018,PyeongChang,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
137208,Nick Gleeson,M,21,193,106,Great Britain,GBR,2018,PyeongChang,Bobsleigh,Bobsleigh Open Four,NA
137208,Nick Gleeson,M,25,193,106,Great Britain,GBR,2022,Beijing,Bobsleigh,Bobsleigh Men's Two,NA
137208,Nick Gleeson,M,25,193,106,Great Britain,GBR,2022,Beijing,Bobsleigh,Bobsleigh Open Four,NA
119371,Sara Grahn,F,29,170,69,Sweden,SWE,2018,PyeongChang,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
119464,Wolfgang Kindl,M,29,166,78,Austria,AUT,2018,PyeongChang,Luge,Luge Men's Singles,NA
119464,Wolfgang Kindl,M,33,166,78,Austria,AUT,2022,Beijing,Luge,Luge Men's Singles,Silver
119464,Wolfgang Kindl,M,33,166,78,Austria,AUT,2022,Beijing,Luge,Luge Mixed Team Relay,Silver
137042,Ondřej Němec,M,33,183,92,Czechia,CZE,2018,PyeongChang,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
128359,Yelena Dergachova,F,22,159,57,ROC,ROC,2018,PyeongChang,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
128359,Yelena Dergachova,F,26,159,57,ROC,ROC,2022,Beijing,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
137312,Felix Schütz,M,30,180,85,Germany,GER,2018,PyeongChang,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
